shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
6..N07R,40.713065,-74.004131,0,
6..N07R,40.71385,-74.003437,1,
6..N07R,40.713889,-74.003402,2,
6..N07R,40.71393,-74.003369,3,
6..N07R,40.713971,-74.003339,4,
6..N07R,40.714014,-74.003311,5,
6..N07R,40.714057,-74.003286,6,
6..N07R,40.714102,-74.003263,7,
6..N07R,40.714149,-74.003242,8,
6..N07R,40.714196,-74.003224,9,
6..N07R,40.714244,-74.003209,10,
6..N07R,40.714294,-74.003195,11,
6..N07R,40.714345,-74.003184,12,
6..N07R,40.714396,-74.003176,13,
6..N07R,40.714449,-74.00317,14,
6..N07R,40.714504,-74.003166,15,
6..N07R,40.714559,-74.003165,16,
6..N07R,40.715371,-74.003063,17,
6..N07R,40.715405,-74.003059,18,
6..N07R,40.715438,-74.003054,19,
6..N07R,40.715471,-74.003048,20,
6..N07R,40.715503,-74.00304,21,
6..N07R,40.715535,-74.003031,22,
6..N07R,40.715566,-74.00302,23,
6..N07R,40.715597,-74.003008,24,
6..N07R,40.715627,-74.002994,25,
6..N07R,40.715657,-74.002979,26,
6..N07R,40.715687,-74.002963,27,
6..N07R,40.715716,-74.002945,28,
6..N07R,40.715744,-74.002925,29,
6..N07R,40.715772,-74.002905,30,
6..N07R,40.7158,-74.002883,31,
6..N07R,40.715827,-74.002859,32,
6..N07R,40.718803,-74.000193,33,
6..N07R,40.720055,-73.999049,34,
6..N07R,40.722125,-73.997276,35,
6..N07R,40.722138,-73.997264,36,
6..N07R,40.722151,-73.997253,37,
6..N07R,40.722163,-73.997241,38,
6..N07R,40.722176,-73.997231,39,
6..N07R,40.722188,-73.99722,40,
6..N07R,40.722201,-73.99721,41,
6..N07R,40.722213,-73.997201,42,
6..N07R,40.722225,-73.997191,43,
6..N07R,40.722237,-73.997183,44,
6..N07R,40.722249,-73.997174,45,
6..N07R,40.722261,-73.997166,46,
6..N07R,40.722273,-73.997158,47,
6..N07R,40.722285,-73.997151,48,
6..N07R,40.722301,-73.997141,49,
6..N07R,40.722322,-73.997128,50,
6..N07R,40.722336,-73.99712,51,
6..N07R,40.72235,-73.997112,52,
6..N07R,40.722364,-73.997104,53,
6..N07R,40.722379,-73.997096,54,
6..N07R,40.722393,-73.997088,55,
6..N07R,40.722407,-73.997081,56,
6..N07R,40.722421,-73.997073,57,
6..N07R,40.722435,-73.997066,58,
6..N07R,40.72245,-73.99706,59,
6..N07R,40.722464,-73.997053,60,
6..N07R,40.722478,-73.997047,61,
6..N07R,40.722492,-73.997041,62,
6..N07R,40.722507,-73.997035,63,
6..N07R,40.722521,-73.997029,64,
6..N07R,40.723289,-73.996736,65,
6..N07R,40.723314,-73.996726,66,
6..N07R,40.72334,-73.996714,67,
6..N07R,40.723365,-73.996702,68,
6..N07R,40.72339,-73.99669,69,
6..N07R,40.723415,-73.996676,70,
6..N07R,40.723439,-73.996662,71,
6..N07R,40.723464,-73.996647,72,
6..N07R,40.723488,-73.996631,73,
6..N07R,40.723512,-73.996614,74,
6..N07R,40.723536,-73.996597,75,
6..N07R,40.72356,-73.996579,76,
6..N07R,40.723584,-73.99656,77,
6..N07R,40.723607,-73.99654,78,
6..N07R,40.723631,-73.996519,79,
6..N07R,40.723654,-73.996498,80,
6..N07R,40.725915,-73.994659,81,
6..N07R,40.727308,-73.993622,82,
6..N07R,40.729514,-73.99174,83,
6..N07R,40.729555,-73.991705,84,
6..N07R,40.729595,-73.991669,85,
6..N07R,40.729634,-73.991631,86,
6..N07R,40.729673,-73.991592,87,
6..N07R,40.729711,-73.991551,88,
6..N07R,40.729748,-73.991509,89,
6..N07R,40.729785,-73.991466,90,
6..N07R,40.729821,-73.991422,91,
6..N07R,40.729856,-73.991376,92,
6..N07R,40.729891,-73.991328,93,
6..N07R,40.729925,-73.99128,94,
6..N07R,40.729958,-73.991229,95,
6..N07R,40.729991,-73.991178,96,
6..N07R,40.730023,-73.991125,97,
6..N07R,40.730054,-73.99107,98,
6..N07R,40.730098,-73.991003,99,
6..N07R,40.730144,-73.990941,100,
6..N07R,40.730194,-73.990882,101,
6..N07R,40.730246,-73.990827,102,
6..N07R,40.7303,-73.990775,103,
6..N07R,40.730358,-73.990727,104,
6..N07R,40.730419,-73.990682,105,
6..N07R,40.730482,-73.990641,106,
6..N07R,40.730548,-73.990603,107,
6..N07R,40.730618,-73.990569,108,
6..N07R,40.73069,-73.990538,109,
6..N07R,40.730765,-73.990511,110,
6..N07R,40.730843,-73.990488,111,
6..N07R,40.730923,-73.990468,112,
6..N07R,40.731008,-73.990453,113,
6..N07R,40.733476,-73.989863,114,
6..N07R,40.733543,-73.989854,115,
6..N07R,40.733612,-73.989847,116,
6..N07R,40.733682,-73.989842,117,
6..N07R,40.733755,-73.989839,118,
6..N07R,40.733829,-73.989838,119,
6..N07R,40.733905,-73.98984,120,
