shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
W,40.703087,-74.012994,193,
W,40.703592,-74.013114,194,
W,40.703655,-74.013128,195,
W,40.703722,-74.013142,196,
W,40.703792,-74.013156,197,
W,40.703865,-74.013171,198,
W,40.703942,-74.013185,199,
W,40.704023,-74.013199,200,
W,40.704107,-74.013213,201,
W,40.704194,-74.013227,202,
W,40.704285,-74.013241,203,
W,40.704379,-74.013255,204,
W,40.704477,-74.013269,205,
W,40.704578,-74.013284,206,
W,40.704683,-74.013298,207,
W,40.704791,-74.013312,208,
W,40.704903,-74.013326,209,
W,40.704946,-74.013331,210,
W,40.704989,-74.013338,211,
W,40.705030,-74.013347,212,
W,40.705072,-74.013358,213,
W,40.705114,-74.013371,214,
W,40.705155,-74.013386,215,
W,40.705196,-74.013404,216,
W,40.705236,-74.013423,217,
W,40.705277,-74.013444,218,
W,40.705317,-74.013467,219,
W,40.705357,-74.013493,220,
W,40.705396,-74.013520,221,
W,40.705436,-74.013549,222,
W,40.705475,-74.013581,223,
W,40.705514,-74.013614,224,
W,40.705755,-74.013816,225,
W,40.705820,-74.013870,226,
W,40.705884,-74.013918,227,
W,40.705946,-74.013958,228,
W,40.706007,-74.013992,229,
W,40.706067,-74.014018,230,
W,40.706126,-74.014037,231,
W,40.706184,-74.014050,232,
W,40.706241,-74.014055,233,
W,40.706297,-74.014053,234,
W,40.706352,-74.014044,235,
W,40.706406,-74.014028,236,
W,40.706459,-74.014005,237,
W,40.706511,-74.013975,238,
W,40.706562,-74.013938,239,
W,40.706611,-74.013894,240,
W,40.706959,-74.013569,241,
W,40.706975,-74.013554,242,
W,40.706992,-74.013539,243,
W,40.707008,-74.013523,244,
W,40.707025,-74.013508,245,
W,40.707042,-74.013493,246,
W,40.707059,-74.013478,247,
W,40.707076,-74.013463,248,
W,40.707094,-74.013447,249,
W,40.707111,-74.013432,250,
W,40.707129,-74.013417,251,
W,40.707147,-74.013402,252,
W,40.707165,-74.013387,253,
W,40.707183,-74.013372,254,
W,40.707201,-74.013357,255,
W,40.707220,-74.013342,256,
W,40.707254,-74.013314,257,
W,40.707290,-74.013286,258,
W,40.707326,-74.013258,259,
W,40.707362,-74.013232,260,
W,40.707400,-74.013205,261,
W,40.707438,-74.013179,262,
W,40.707477,-74.013153,263,
W,40.710668,-74.011029,264,
W,40.711537,-74.010465,265,
W,40.711587,-74.010420,266,
W,40.711631,-74.010373,267,
W,40.711669,-74.010323,268,
W,40.711701,-74.010270,269,
W,40.711728,-74.010215,270,
W,40.711748,-74.010157,271,
W,40.711762,-74.010096,272,
W,40.711770,-74.010032,273,
W,40.711773,-74.009965,274,
W,40.711769,-74.009896,275,
W,40.711760,-74.009824,276,
W,40.711744,-74.009749,277,
W,40.711723,-74.009672,278,
W,40.711695,-74.009592,279,
W,40.711662,-74.009509,280,
W,40.711623,-74.009411,281,
W,40.711589,-74.009327,282,
W,40.711561,-74.009245,283,
W,40.711537,-74.009165,284,
W,40.711519,-74.009087,285,
W,40.711507,-74.009011,286,
W,40.711500,-74.008937,287,
W,40.711498,-74.008865,288,
W,40.711501,-74.008794,289,
W,40.711510,-74.008725,290,
W,40.711525,-74.008659,291,
W,40.711544,-74.008594,292,
W,40.711569,-74.008531,293,
W,40.711599,-74.008470,294,
W,40.711635,-74.008410,295,
W,40.711676,-74.008353,296,
W,40.712478,-74.007711,297,
W,40.712488,-74.007703,298,
W,40.712497,-74.007694,299,
W,40.712507,-74.007686,300,
W,40.712516,-74.007677,301,
W,40.712525,-74.007669,302,
W,40.712533,-74.007660,303,
W,40.712542,-74.007651,304,
W,40.712550,-74.007641,305,
W,40.712558,-74.007632,306,
W,40.712566,-74.007623,307,
W,40.712574,-74.007613,308,
W,40.712582,-74.007603,309,
W,40.712589,-74.007593,310,
W,40.712596,-74.007583,311,
W,40.712603,-74.007573,312,
W,40.712610,-74.007563,313,
W,40.712618,-74.007553,314,
W,40.712625,-74.007544,315,
W,40.712633,-74.007535,316,
